-- departmentsテーブル
INSERT INTO departments (department_id,name,staff_id,stage,creator, created_at, updater,updated_at,version)
VALUES 
(1,'Webエンジニア','AP-202','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(2,'インフラエンジニア','CL-202','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(3,'機械学習エンジニア','ML-202','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(4,'営業','sales','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(5,'管理者','admin','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
(9,'仮ユーザー','pending','0','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1);

SELECT * FROM departments;

-- passwordハッシュ化版（すべてpassword=Aaaaa123）
INSERT INTO users 
(name,hired_on,department_id,email,password,stage,
updated_password_at,creator,created_at,updater,updated_at,version) 
VALUES 
('Webエンジニア　次郎','2020-01-01',1,'web.ziro@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('Webエンジニア　華子','2020-02-01',1,'web.kako@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト次郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('CLエンジニア　五郎','2020-03-01',2,'cl.goro@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('MLエンジニア　次郎','2020-04-01',3,'ML.ziro@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('営業承　次郎','2015-04-01',4,'sales.ziro@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('管理者　次郎','2019-04-01',5,'admin.ziro@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト太郎','2020-05-13 12:00:00.000000','テスト太郎','2020-05-13 12:00:00.000000',1),
('Web1','2020-01-01',1,'Web1@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web2','2020-01-01',1,'Web2@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web3','2020-01-01',1,'Web3@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web4','2020-01-01',1,'Web4@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web5','2020-01-01',1,'Web5@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web6','2020-01-01',1,'Web6@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web7','2020-01-01',1,'Web7@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web8','2020-01-01',1,'Web8@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web9','2020-01-01',1,'Web9@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web10','2020-01-01',1,'Web10@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web11','2020-01-01',1,'Web11@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web12','2020-01-01',1,'Web12@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web13','2020-01-01',1,'Web13@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
'2020-05-13','テスト','2020-05-13 12:00:00.000000','テスト','2020-05-13 12:00:00.000000',1),
('Web14','2020-01-01',1,'Web14@rakus-partners.co.jp','$2a$10$/Qwwh8ycD4QXgOqbgQNw3OYXni5XTWx.30I9bC6NSk7xQUT.OmhOm','0',
